,Start,End
0,2018-03-28 09:40:35.250800,2018-03-28 09:40:38.980805
1,2018-03-28 09:40:40.275914,2018-03-28 09:40:45.074713
2,2018-03-28 09:41:04.595588,2018-03-28 09:41:06.068314
3,2018-03-28 09:41:23.554534,2018-03-28 09:41:26.227667
4,2018-03-28 09:41:29.893535,2018-03-28 09:41:32.307158
5,2018-03-28 09:42:01.060112,2018-03-28 09:42:16.788897
6,2018-03-28 09:42:31.509094,2018-03-28 09:43:02.275330
7,2018-03-28 09:43:03.747946,2018-03-28 09:43:03.974184
8,2018-03-28 09:43:04.578729,2018-03-28 09:43:05.043014
9,2018-03-28 09:43:05.315171,2018-03-28 09:43:05.874960
10,2018-03-28 09:43:06.307596,2018-03-28 09:43:11.349594
11,2018-03-28 09:43:12.674609,2018-03-28 09:43:17.476777
12,2018-03-28 09:43:21.972494,2018-03-28 09:43:24.788442
13,2018-03-28 09:43:26.388166,2018-03-28 09:43:28.534918
14,2018-03-28 09:43:32.053038,2018-03-28 09:43:32.227310
15,2018-03-28 09:43:32.882956,2018-03-28 09:43:35.396283
16,2018-03-28 09:43:39.379237,2018-03-28 09:43:39.925659
17,2018-03-28 09:43:40.388763,2018-03-28 09:43:43.044476
18,2018-03-28 09:44:52.211155,2018-03-28 09:44:56.914617
19,2018-03-28 09:44:59.235457,2018-03-28 09:44:59.507508
